Week of:,NT Reading:,OT Connection:,OT Reading:,TRUE
"September 8, 2025",Matthew 1-2,Genesis 3,Genesis 1-6,
"September 15, 2025",Matthew 3-4,Deuteronomy 8,Genesis 7-12,
"September 22, 2025",Matthew 5-6,Deuteronomy 6,Genesis 13-18,
"September 29, 2025",Matthew 7-8,Proverbs 2,Genesis 19-24,
"October 6, 2025",Matthew 9-10,Isaiah 6,Genesis 25-30,
"October 13, 2025",Matthew 11-12,Isaiah 53,Genesis 31-36,
"October 20, 2025",Matthew 13-14,Isaiah 55,Genesis 37-42,
"October 27, 2025",Matthew 15-16,Leviticus 11,Genesis 43-48,
"November 3, 2025",Matthew 17-18,Exodus 34,Genesis 49-Exodus 4,
"November 10, 2025",Matthew 19-20,Genesis 2,Exodus 5-10,
"November 17, 2025",Matthew 21-22,Zechariah 9,Exodus 11-16,
"November 24, 2025",Matthew 23-24,Jeremiah 7,Exodus 17-22,
"December 1, 2025",Matthew 25,Daniel 7,Exodus 23-28,
"December 8, 2025",Matthew 26-27,Psalm 22,Exodus 29-34,
"December 15, 2025",Matthew 28,Jonah 2,Exodus 35-Leviticus 1,
"December 22, 2025",Mark 1-2,Malachi 3,Leviticus 2-7,
"December 29, 2025",Mark 3-4,Psalm 1,Leviticus 8-13,
"January 5, 2026",Mark 5-6,1 Kings 17,Leviticus 14-19,
"January 12, 2026",Mark 7-8,Isaiah 29,Leviticus 20-25,
"January 19, 2026",Mark 9-10,Exodus 24,Leviticus 26-Numbers 3,
"January 26, 2026",Mark 11-12,Psalm 118,Numbers 4-9,
"February 2, 2026",Mark 13,Joel 2,Numbers 10-15,
"February 9, 2026",Mark 14-15,Psalm 69,Numbers 16-21,
"February 16, 2026",Mark 16 Luke 1,1 Samuel 2,Numbers 22-27,
"February 23, 2026",Luke 2-3,Micah 5,Numbers 28-33,
"March 2, 2026",Luke 4-5,Isaiah 61,Numbers 34-Deuteronomy 4,
"March 9, 2026",Luke 6-7,Proverbs 19,Deuteronomy 5-10,
"March 16, 2026",Luke 8-9,2 Kings 4,Deuteronomy 11-16,
"March 23, 2026",Luke 10-11,Deuteronomy 30,Deuteronomy 17-22,
"March 30, 2026",Luke 12-13,Amos 5,Deuteronomy 23-28,
"April 6, 2026",Luke 14-15,Isaiah 25,Deuteronomy 29-34,
"April 13, 2026",Luke 16-17,Proverbs 28,Joshua 1-6,
"April 20, 2026",Luke 18-19,Micah 6,Joshua 7-12,
"April 27, 2026",Luke 20,Psalm 2,Joshua 13-18,
"May 4, 2026",Luke 21-22,Daniel 9,Joshua 19-24,
"May 11, 2026",Luke 23-24,Psalm 16,Judges 1-6,
"May 18, 2026",John 1-2,Genesis 1,Judges 7-12,
"May 25, 2026",John 3-4,Numbers 21,Judges 13-18,
"June 1, 2026",John 5-6,Exodus 16,Judges 19-Ruth 4,
"June 8, 2026",John 7-8,Isaiah 12,1 Samuel 1-6,
"June 15, 2026",John 9-10,Psalm 23,1 Samuel 7-12,
